章节,单词,解释
Chapter-12 饮⻝健康,carrot,n. 胡萝⼘
Chapter-12 饮⻝健康,turnip,"n. 芜菁, 萝⼘"
Chapter-12 饮⻝健康,radish,n. 樱桃萝⼘
Chapter-12 饮⻝健康,fruit,n. ⽔果; 成果
Chapter-12 饮⻝健康,peel,n. (⽔果)⽪ v. 剥(⽪)
Chapter-12 饮⻝健康,strip,"v. 剥去, 除去 n. 条, 带"
Chapter-12 饮⻝健康,core,n. 果核
Chapter-12 饮⻝健康,hull,n. 外壳; 船体 v. 剥去外壳
Chapter-12 饮⻝健康,cherry,n. 樱桃; 樱桃树
Chapter-12 饮⻝健康,berry,n. 浆果
Chapter-12 饮⻝健康,grape,n. 葡萄
Chapter-12 饮⻝健康,papaya,n. 番⽊⽠
Chapter-12 饮⻝健康,peach,n. 桃⼦
Chapter-12 饮⻝健康,pear,n. 梨⼦
Chapter-12 饮⻝健康,plum,n. 李⼦
Chapter-12 饮⻝健康,orange,n. 橙⼦
Chapter-12 饮⻝健康,melon,n. 甜⽠; ⽠
Chapter-12 饮⻝健康,lemon,n. 柠檬
Chapter-12 饮⻝健康,kiwi,n. 猕猴桃
Chapter-12 饮⻝健康,crop,"n. 庄稼; 收成, 产量"
Chapter-12 饮⻝健康,corn,n. ⽟⽶; ⾕物
Chapter-12 饮⻝健康,grain,n. ⾕物; 颗粒
Chapter-12 饮⻝健康,wheat,n. ⼩⻨
Chapter-12 饮⻝健康,reap,v. 收割; 收获
Chapter-12 饮⻝健康,flour,n. ⾯粉
Chapter-12 饮⻝健康,porridge,n. ⻨⽚粥
Chapter-12 饮⻝健康,paste,n. ⾯团; 糨糊
Chapter-12 饮⻝健康,livestock,"n. 家畜, 牲畜"
Chapter-12 饮⻝健康,chicken,n. 鸡
Chapter-12 饮⻝健康,turkey,n. ⽕鸡
Chapter-12 饮⻝健康,beef,n. ⽜⾁
Chapter-12 饮⻝健康,pork,n. 猪⾁
Chapter-12 饮⻝健康,mutton,n. ⽺⾁
Chapter-12 饮⻝健康,sausage,n. ⾹肠
Chapter-12 饮⻝健康,fish,n. ⻥ v. 钓⻥
Chapter-12 饮⻝健康,pond,n. 池塘
Chapter-12 饮⻝健康,rod,"n. 杆, 竿"
Chapter-12 饮⻝健康,dairy,n. 乳制品; 乳品店 adj. 乳制的
Chapter-12 饮⻝健康,milk,n. 奶 v. 挤奶
Chapter-12 饮⻝健康,yogurt,n. 酸奶
Chapter-12 饮⻝健康,cream,n. 奶油
Chapter-12 饮⻝健康,cheese,n. 奶酪
Chapter-12 饮⻝健康,butter,n. ⻩油
Chapter-12 饮⻝健康,salad,n. ⾊拉
Chapter-12 饮⻝健康,sandwich,n. 三明治 v. 把…夹⼊
Chapter-12 饮⻝健康,hamburger,n. 汉堡包; 汉堡⽜⾁瓶
Chapter-12 饮⻝健康,loaf,"n. ⼀条(⾯包) v. 游荡, 闲逛"
Chapter-12 饮⻝健康,pie,"n. 派, 馅饼"
Chapter-12 饮⻝健康,pizza,n. ⽐萨饼
Chapter-12 饮⻝健康,pasta,n. 意⼤利⾯⻝
Chapter-12 饮⻝健康,spaghetti,n. 意⼤利⾯条
Chapter-12 饮⻝健康,soup,n. 汤
Chapter-12 饮⻝健康,pudding,n. 布丁
Chapter-12 饮⻝健康,biscuit,"n. [英]饼⼲; [美]烤饼, ⼩圆⾯包"
Chapter-12 饮⻝健康,jam,n. 果酱
Chapter-12 饮⻝健康,nut,n. 坚果; 螺⺟
Chapter-12 饮⻝健康,chocolate,n. 巧克⼒
Chapter-12 饮⻝健康,ice cream,n. 冰激凌
Chapter-12 饮⻝健康,vanilla,n. ⾹草 adj. ⾹草味的
Chapter-12 饮⻝健康,mustard,n. 芥末; 芥菜
Chapter-12 饮⻝健康,wasabi,n. ⼭葵
Chapter-12 饮⻝健康,pepper,n. 柿⼦椒; 胡椒粉
Chapter-12 饮⻝健康,ginger,n. 姜
Chapter-12 饮⻝健康,garlic,n. 蒜
Chapter-12 饮⻝健康,scallion,n. 葱
Chapter-12 饮⻝健康,vinegar,n. 醋
Chapter-12 饮⻝健康,salt,n. 盐
Chapter-12 饮⻝健康,sugar,n. 糖
Chapter-12 饮⻝健康,candy,n. 糖果
Chapter-12 饮⻝健康,honey,n. 蜂蜜
Chapter-12 饮⻝健康,flavour,"n. 味道; ⼝味; 特⾊, ⻛格"
Chapter-12 饮⻝健康,sour,adj. 酸的; 闷闷不乐的
Chapter-12 饮⻝健康,sweet,adj. 甜的; 愉快的
Chapter-13 建筑场所,bitter,adj. 苦的; 痛苦的; 严寒的
Chapter-13 建筑场所,delicious,adj. 美味的
Chapter-13 建筑场所,yummy,adj. 美味的
Chapter-13 建筑场所,tasty,"adj. 美味的, 可⼝的"
Chapter-13 建筑场所,hunger,n. 饥饿; 饥饿感; 渴望
Chapter-13 建筑场所,thirsty,adj. 渴的; 渴望的
Chapter-13 建筑场所,spice,n. ⾹料
Chapter-13 建筑场所,sauce,n. 酱汁
Chapter-13 建筑场所,ketchup,n. 番茄酱
Chapter-13 建筑场所,perfume,"n. ⾹味, 芳⾹; ⾹⽔"
Chapter-13 建筑场所,ingredient,"n. (烹调的)原料, 调料; 原料; 因素"
Chapter-13 建筑场所,supplement,"n. 营养补剂; 补贴 v. 增补, 补充"
Chapter-13 建筑场所,digest,"v. 消化; 理解, 领悟"
Chapter-13 建筑场所,cook,"v. 烹调, 烧, 煮 n. 厨师"
Chapter-13 建筑场所,bake,v. 烧烤; 烤熟
Chapter-13 建筑场所,fry,v. 油煎
Chapter-13 建筑场所,roast,v. 烤 n. 烤⾁
Chapter-13 建筑场所,toast,"n. 烤⾯包⽚ v. 向…祝酒, 为…⼲杯; 烤"
Chapter-13 建筑场所,suck,v. 吮吸
Chapter-13 建筑场所,swallow,"v. 咽下, 吞下 n. 燕⼦"
Chapter-13 建筑场所,lick,v. 舔
Chapter-13 建筑场所,chew,v. 咀嚼
Chapter-13 建筑场所,gum,n. ⼝⾹糖; 树胶
Chapter-13 建筑场所,soak,v. 浸泡; 使湿透
Chapter-13 建筑场所,dip,"v. 蘸, 浸"
Chapter-13 建筑场所,squeeze,v. 挤压
Chapter-13 建筑场所,stir,v. 搅动; (使)⾏动
Chapter-13 建筑场所,grind,v. 碾碎 n. 枯燥乏味的事
Chapter-13 建筑场所,slice,"v. 切, 划, 将…切成薄⽚ n. (切下的⻝物的)薄⽚"
Chapter-13 建筑场所,architecture,n. 建筑学; 建筑⻛格
Chapter-13 建筑场所,erection,n. 建筑; 结构
Chapter-13 建筑场所,structure,n. 建筑物; 结构
Chapter-13 建筑场所,construct,v. 建造; 建设
Chapter-13 建筑场所,obstruct,v. 阻塞; 防碍
Chapter-13 建筑场所,establish,"v. 建⽴, 设⽴"
Chapter-13 建筑场所,build,v. 建造; 开发
Chapter-13 建筑场所,found,v. 建⽴; 创办
Chapter-13 建筑场所,concrete,n. 混凝⼟ adj. 具体的; 混凝⼟制的
Chapter-13 建筑场所,steel,n. 钢铁
Chapter-13 建筑场所,stability,n. 稳定(性)
Chapter-13 建筑场所,site,n. 地点
Chapter-13 建筑场所,venue,"n. 发⽣地点, 举⾏场所"
Chapter-13 建筑场所,landmark,n. 地标; ⾥程碑
Chapter-13 建筑场所,situated,adj. 位于…的; 坐落在…的
Chapter-13 建筑场所,locate,"v. 放置, 建⽴, 找到"
Chapter-13 建筑场所,reside,v. 居住
Chapter-13 建筑场所,inhabit,v. 居住于
Chapter-13 建筑场所,migrate,v. 迁徙; 移居
Chapter-13 建筑场所,settle,v. 解决; 使定居; 在…定居
Chapter-13 建筑场所,dwelling,n. 住所
Chapter-13 建筑场所,skyscraper,n. 摩天⼤楼
Chapter-13 建筑场所,villa,n. 乡间别墅; 度假别墅
Chapter-13 建筑场所,mansion,n. 公馆; 宅第
Chapter-13 建筑场所,apartment,n. 公寓套房
Chapter-13 建筑场所,flat,"n. 单元房, 公寓"
Chapter-13 建筑场所,hostel,n. 廉价招待所
Chapter-13 建筑场所,lodge,n. ⼩屋; 度假屋 v. 租住
Chapter-13 建筑场所,hut,"n. ⼩屋, 草屋, 棚屋"
Chapter-13 建筑场所,cabin,n. ⼩⽊屋; (船上的)⼩舱
Chapter-13 建筑场所,cellar,n. 地窖; 地下室; 酒窖
Chapter-13 建筑场所,shed,"n. 简易房, 棚 v. 流, 洒, 摆脱"
Chapter-13 建筑场所,cottage,"n. 村舍, ⼩屋"
Chapter-13 建筑场所,nursery,n. 托⼉所 adj. 托⼉所的
Chapter-13 建筑场所,cradle,n. 摇篮; 发源地
Chapter-13 建筑场所,shelter,n. 庇护处; 掩蔽 v. 庇护; 遮蔽
Chapter-13 建筑场所,block,n. 街区; 障碍; ⼀块
Chapter-13 建筑场所,grid,n. ⽹络; 栅栏; 输电⽹
Chapter-13 建筑场所,aisle,"n. ⾛廊, 过道"
Chapter-13 建筑场所,porch,n. ⻔廊
Chapter-13 建筑场所,corridor,"n. ⾛廊, 通道"
Chapter-13 建筑场所,stair,n. 楼梯
Chapter-13 建筑场所,staircase,n. (建筑物内的)楼梯
Chapter-13 建筑场所,storey,n. 楼层
Chapter-13 建筑场所,layer,n. 层
Chapter-13 建筑场所,elevator,n. 电梯
Chapter-13 建筑场所,escalator,n. ⾃动扶梯
Chapter-13 建筑场所,handrail,"n. 扶⼿, 栏杆"
Chapter-13 建筑场所,pillar,n. 柱⼦; 中坚; 栋梁
Chapter-13 建筑场所,column,n. 柱; 专栏; (书、报纸等印刷⻚的)栏
Chapter-13 建筑场所,beam,n. 梁; 光线; 光柱
Chapter-13 建筑场所,vault,n. 拱顶; ⾦库; 保险库
Chapter-13 建筑场所,arch,n. 拱⻔
Chapter-13 建筑场所,ceiling,n. 天花板
Chapter-13 建筑场所,eaves,n. 屋檐
Chapter-13 建筑场所,chimney,n. 烟囱
Chapter-13 建筑场所,reception,n. 接待处
Chapter-13 建筑场所,lobby,"n. ⼤厅, 前厅; 游说 v. 游说"
Chapter-13 建筑场所,bench,n. ⻓凳
Chapter-13 建筑场所,parlour,n. 客厅
Chapter-13 建筑场所,fireplace,n. 壁炉
Chapter-13 建筑场所,radiator,n. 暖⽓设备
Chapter-13 建筑场所,living room,n. 客厅
Chapter-13 建筑场所,cabinet,n. 储藏柜; 内阁
Chapter-13 建筑场所,balcony,n. 阳台; (剧院的)楼座
Chapter-13 建筑场所,terrace,"n. ⼤阳台, 露天平台"
Chapter-13 建筑场所,kitchen,n. 厨房; 厨师
Chapter-13 建筑场所,lavatory,n. 盥洗室; 厕所
Chapter-13 建筑场所,toilet,n. 洗⼿间
Chapter-13 建筑场所,bath,n. 洗澡;
Chapter-13 建筑场所,basin,n. 盆; 盆地
Chapter-13 建筑场所,reserve,n. 储备(量); ⾃然保护区 v. 预订; 保留
Chapter-13 建筑场所,store,n. 商店; 贮存物 v. 贮存
Chapter-13 建筑场所,mall,n. 购物中⼼
Chapter-13 建筑场所,complex,n. 综合建筑群
Chapter-13 建筑场所,supermarket,n. 超市
Chapter-13 建筑场所,booth,n. 售货摊; 电话亭
Chapter-13 建筑场所,casino,n. 赌场
Chapter-13 建筑场所,studio,n. 演播室; ⼯作室; 单间公寓
Chapter-13 建筑场所,downtown,n. 市中⼼ adj. 市中⼼的
Chapter-13 建筑场所,urban,adj. 城市的
Chapter-13 建筑场所,peripheral,adj. 外围的 n. 外围设备
Chapter-13 建筑场所,vicinity,"n. 附近, 邻近地区"
Chapter-13 建筑场所,room,n. 房间; 空间
Chapter-13 建筑场所,void,n. 空间; 空⽩; 空虚 adj. 空的
Chapter-13 建筑场所,spacious,adj. 宽敞的
Chapter-13 建筑场所,airtight,adj. 密封的
Chapter-13 建筑场所,expanse,"n. ⼴阔, 辽阔"
Chapter-13 建筑场所,plaza,n. ⼴场; 购物中⼼
Chapter-13 建筑场所,castle,n. 城堡
Chapter-13 建筑场所,carpenter,n. ⽊匠
Chapter-13 建筑场所,mason,"n. ⽯匠, 泥瓦匠"
Chapter-13 建筑场所,tile,n. 瓦; 瓷砖
Chapter-13 建筑场所,brickwork,n. 砌砖; 砖结构
Chapter-13 建筑场所,suspension,n. 悬浮; 暂停; 暂缓
Chapter-13 建筑场所,lever,n. 杠杆; 操纵杆
Chapter-13 建筑场所,pole,n. 杆; 竿
Chapter-13 建筑场所,scaffold,n. 脚⼿架; 绞型架
Chapter-13 建筑场所,infrastructure,n. 基础设施; 基础建设
Chapter-13 建筑场所,apparatus,"n. 器械, 装置"
Chapter-13 建筑场所,crane,n. 起重机
Chapter-13 建筑场所,malfunction,v. 发⽣故障
Chapter-13 建筑场所,maintain,v. 维持; 维修; 坚称
Chapter-13 建筑场所,fix,v. 修理; 使固定
Chapter-13 建筑场所,mend,v. 修理; 康复; 缝补
Chapter-13 建筑场所,modify,v. 修改
Chapter-13 建筑场所,trim,"v. 修剪; 装饰 adj. 整⻬的, 整洁的"
Chapter-13 建筑场所,weld,v. 焊接; 使紧密结合
Chapter-13 建筑场所,screw,n. 螺丝钉; 螺旋浆
Chapter-13 建筑场所,drill,n. 钻机; 反复练习 v. 钻孔; 训练
Chapter-14 交通旅⾏,plumb,n. 铅锤 v. ⽤铅锤线校正
Chapter-14 交通旅⾏,viaduct,n. ⾼架桥
Chapter-14 交通旅⾏,span,"n. 跨距, 跨度; 持续时间"
Chapter-14 交通旅⾏,dam,"n. ⽔坝 v. 控制, 抵制"
Chapter-14 交通旅⾏,assemble,v. 组装; 装配
Chapter-14 交通旅⾏,install,v. 安装
Chapter-14 交通旅⾏,furnish,v. 为…配备家具陈设
Chapter-14 交通旅⾏,placement,"n. 放置, 布置"
Chapter-14 交通旅⾏,layout,"n. 设计, 布置, 安排"
Chapter-14 交通旅⾏,design,v. 设计; 计划 n. 设计
Chapter-14 交通旅⾏,entrance,n. ⼊⼝; 进⼊权
Chapter-14 交通旅⾏,entry,v. 进⼊; 进⼊权
Chapter-14 交通旅⾏,enter,v. 进⼊
Chapter-14 交通旅⾏,exit,n. 出⼝; 退场; 离去 v. 离去
Chapter-14 交通旅⾏,outside,adj. 外部的 n. 外表
Chapter-14 交通旅⾏,outward,adj. 向外的 adv. 向外
Chapter-14 交通旅⾏,exterior,"n. 外部, 外观 adj. 外部的"
Chapter-14 交通旅⾏,external,n. 外来的; 外⾯的; 对外的
Chapter-14 交通旅⾏,inner,adj. 内部的; 内⼼的
Chapter-14 交通旅⾏,interior,n. 内部 adj. 内部的
Chapter-14 交通旅⾏,inward,adj. 向内的; 内⼼的 adv. 向内
Chapter-14 交通旅⾏,internal,adj. 内部的; ⾃身的; 国内的
Chapter-14 交通旅⾏,navigate,v. 航⾏; 横渡
Chapter-14 交通旅⾏,voyage,"n. 航海, 航天; 航⾏"
Chapter-14 交通旅⾏,aviation,n. 航空; 航空学; 航空⼯业
Chapter-14 交通旅⾏,journey,n. 旅⾏; 历程
Chapter-14 交通旅⾏,travel,n. v. 旅⾏
Chapter-14 交通旅⾏,safari,n. 观兽旅⾏
Chapter-14 交通旅⾏,parade,n. 庆祝流⾏; 列队⾏进; 炫耀 n. 游⾏; 炫耀
Chapter-14 交通旅⾏,haunt,v. (⻤魂等)常出没于 n. 常去的地⽅
Chapter-14 交通旅⾏,attraction,n. 吸引; 具有吸引⼒的事物
Chapter-14 交通旅⾏,memorial,"n. 纪念碑 adj. 纪念的, 悼念的"
Chapter-14 交通旅⾏,pyramid,n. ⾦字塔; 棱锥体
Chapter-14 交通旅⾏,port,n. 港⼝; 左舷
Chapter-14 交通旅⾏,visa,n. 签证
Chapter-14 交通旅⾏,traffic,n. 交通
Chapter-14 交通旅⾏,airline,n. 航空公司
Chapter-14 交通旅⾏,airplane,n. ⻜机
Chapter-14 交通旅⾏,helicopter,n. 直升机 v. ⽤直升机载送; 乘直升⻜机旅⾏
Chapter-14 交通旅⾏,jet,n. 喷⽓式⻜机; 喷射⼝
Chapter-14 交通旅⾏,parachute,n. 降落伞
Chapter-14 交通旅⾏,flight,n. ⻜⾏; 航班
Chapter-14 交通旅⾏,pilot,n. ⻜⾏员
Chapter-14 交通旅⾏,passenger,n. 乘客
Chapter-14 交通旅⾏,baggage,n. ⾏李
Chapter-14 交通旅⾏,luggage,n. ⾏李
Chapter-14 交通旅⾏,suitcase,n. ⼿提箱
Chapter-14 交通旅⾏,carry-on,n. ⼿提⾏李
Chapter-14 交通旅⾏,rack,"n. 搁物架, 挂物架"
Chapter-14 交通旅⾏,freight,n. 货运
Chapter-14 交通旅⾏,fare,"n. ⻋费, 路费"
Chapter-14 交通旅⾏,atlas,n. 地图册
Chapter-14 交通旅⾏,route,n. 路线
Chapter-14 交通旅⾏,itinerary,"n. ⾏程, 路线"
Chapter-14 交通旅⾏,passage,n. 通道; 通过; ⾛廊
Chapter-14 交通旅⾏,intersection,"n. ⼗字路⼝, 交叉路⼝"
Chapter-14 交通旅⾏,cross,n. ⼗字形; ⼗字架 v. 穿过
Chapter-14 交通旅⾏,path,n. ⼩路
Chapter-14 交通旅⾏,lane,n. ⼩巷; ⻋道
Chapter-14 交通旅⾏,avenue,n. ⼤街; 林荫道
Chapter-14 交通旅⾏,highway,n. 公路
Chapter-14 交通旅⾏,curb,n. 路缘; 起控制作⽤的事物
Chapter-14 交通旅⾏,signpost,n. 路标; 指示牌
Chapter-14 交通旅⾏,pave,v. 铺(路或地⾯)
Chapter-14 交通旅⾏,vehicle,"n. ⻋辆, 交通⼯具; ⼯具, ⼿段"
Chapter-14 交通旅⾏,auto,n. 汽⻋
Chapter-14 交通旅⾏,express,n. 特快列⻋; 快递服务 v. 表示 adj. 特快的
Chapter-14 交通旅⾏,tram,n. 有轨电⻋
Chapter-14 交通旅⾏,coach,n. ⻓途汽⻋; 教练; 私⼈教师 v. 训练
Chapter-14 交通旅⾏,ambulance,n. 救护⻋
Chapter-14 交通旅⾏,truck,n. 卡⻋
Chapter-14 交通旅⾏,lorry,n. 卡⻋
Chapter-14 交通旅⾏,van,n. 厢式货⻋; 客货⻋
Chapter-14 交通旅⾏,wagon,n. 四轮运货⻢⻋(或⽜⻋); 货⻋⻋厢
Chapter-14 交通旅⾏,carriage,n. 四轮⻢⻋; ⻋厢
Chapter-14 交通旅⾏,tractor,n. 拖拉机; 牵引⻋
Chapter-14 交通旅⾏,cart,n. 购物⻋; ⼿推⻋; 运货⻢⻋
Chapter-14 交通旅⾏,pedicab,n. (⼈⼒)三轮⻋
Chapter-14 交通旅⾏,cycle,v. 骑(⾃⾏⻋) n. 周期; ⾃⾏⻋
Chapter-14 交通旅⾏,garage,n. 汽⻋修理⼚; ⻋库
Chapter-14 交通旅⾏,motor,n. 发动机 adj. 机动的
Chapter-14 交通旅⾏,horsepower,n. ⻢⼒
Chapter-14 交通旅⾏,wheel,n. ⻋轮; ⽅向盘
Chapter-14 交通旅⾏,brake,n. 刹⻋; 制动器; ⻋闸 v. 刹⻋
Chapter-14 交通旅⾏,tyre,n. 轮胎
Chapter-14 交通旅⾏,honk,n. 汽⻋喇叭声; 鹅叫声 v. 按(汽⻋喇叭)
Chapter-14 交通旅⾏,crew,n. (轮船、⻜机等上的)全体⼯作⼈员; 技术团队
Chapter-14 交通旅⾏,captain,n. 船⻓; 队⻓
Chapter-14 交通旅⾏,steward,n. 男乘务员; 管家
Chapter-14 交通旅⾏,emergency,n. 紧急事件 adj. 应急的
Chapter-14 交通旅⾏,wreck,v. 使失事; 破坏 n. 失事的船只(或汽⻋、⻜机等); 残破的东⻄
Chapter-14 交通旅⾏,crash,v. 撞击; 崩溃; 破产
Chapter-14 交通旅⾏,crush,"v. 压碎, 压坏 n. 拥挤⼈群; 迷恋; 迷恋对象"
Chapter-14 交通旅⾏,dash,v. 猛冲; 猛摔
Chapter-14 交通旅⾏,vanish,v. 突然消失; 绝迹
Chapter-14 交通旅⾏,disappear,v. 失踪; 消失
Chapter-14 交通旅⾏,hazard,n. 危险 v. 使冒⻛险
Chapter-14 交通旅⾏,harbour,n. 港⼝
Chapter-14 交通旅⾏,dock,"n. 码头, 船坞"
Chapter-14 交通旅⾏,anchor,n. 锚
Chapter-14 交通旅⾏,submerge,v. 浸没; 掩盖
Chapter-14 交通旅⾏,sailor,"n. 海员, ⽔⼿"
Chapter-14 交通旅⾏,seaman,"n. 海员, ⽔⼿"
Chapter-14 交通旅⾏,carrier,n. 航空⺟舰; 运输⼯具
Chapter-14 交通旅⾏,steamer,"n. 轮船, 汽船"
Chapter-14 交通旅⾏,liner,"n. 邮轮, 客轮"
Chapter-14 交通旅⾏,vessel,"n. ⼤船, 舰; 容器, 器⽫"
Chapter-14 交通旅⾏,ferry,n. 渡船 v. 渡运
Chapter-14 交通旅⾏,sail,v. 航⾏; 驾驶(帆船)
Chapter-14 交通旅⾏,raft,"n. ⽊排, ⽊筏"
Chapter-14 交通旅⾏,canoe,n. 独⽊⾈
Chapter-14 交通旅⾏,oar,"n. 桨, 划⼿"
Chapter-14 交通旅⾏,deck,n. 甲板 v. 装饰
Chapter-14 交通旅⾏,turbine,n. 涡轮机
Chapter-14 交通旅⾏,propeller,n. 螺旋浆
Chapter-14 交通旅⾏,stern,n. 船尾
Chapter-14 交通旅⾏,aboard,adv. 在(船、⻜机等)上
Chapter-14 交通旅⾏,embark,v. 上船
Chapter-14 交通旅⾏,channel,n. 航道; 海峡; 电视频道
Chapter-14 交通旅⾏,canal,n. 运河; (⼈体⼈输送⻝物、空⽓等的)管
Chapter-14 交通旅⾏,ditch,"n. 沟, 渠"
Chapter-14 交通旅⾏,railroad,"n. 铁路, 铁路公司"
Chapter-14 交通旅⾏,railway,n. 铁路; 铁道部⻔
Chapter-14 交通旅⾏,locomotive,n. ⽕⻋头; 机⻋
Chapter-14 交通旅⾏,subway,"n. 地铁, 地下通道"
Chapter-14 交通旅⾏,underground,n. 地铁 adj. 地下的; 秘密的
Chapter-14 交通旅⾏,tunnel,"n. 隧道, 地道"
Chapter-14 交通旅⾏,rail,n. 铁路路轨; 栏杆
Chapter-14 交通旅⾏,depart,"v. 离开, 启程"
Chapter-14 交通旅⾏,arrive,v. 到达; 取得成功
Chapter-14 交通旅⾏,destination,"n. ⽬的地, 终点"
Chapter-14 交通旅⾏,delay,n. 延迟; 推迟; 耽误 v. 耽搁; 延期
Chapter-14 交通旅⾏,postpone,"v. 推迟, 延期"
Chapter-14 交通旅⾏,defer,"v. 推迟, 拖延"
Chapter-14 交通旅⾏,lull,"n. 暂停, 暂时平静期"
Chapter-14 交通旅⾏,expire,v. 失效; 到期; 逝世; 期满
Chapter-14 交通旅⾏,due,"adj. 到期的, 预期的"
Chapter-14 交通旅⾏,postage,"n. 邮费, 邮资"
Chapter-14 交通旅⾏,stamp,n. 邮票; 印章 v. 在…上贴邮票; 盖(章)
Chapter-14 交通旅⾏,envelope,n. 信封; 封⽪; 包裹物
Chapter-14 交通旅⾏,mail,"n. 邮件, 邮包; 邮政 v. 邮寄"
Chapter-15 国家政府,packet,n. ⼩件包裹; 包装盒
Chapter-15 国家政府,package,n. 包裹; 盒; 包; 包装
Chapter-15 国家政府,bind,"v. 捆, 绑"
Chapter-15 国家政府,parcel,"v. 打包, 包 n. ⼟地的(⼀块); 包裹"
Chapter-15 国家政府,load,"v. 装载, 装满 n. 负荷; ⼤量"
Chapter-15 国家政府,burden,"n. 负担, 重担 v. 担负"
Chapter-15 国家政府,transfer,"v. 迁移, 转移; 调动"
Chapter-15 国家政府,transmit,"v. 传送; 传播, 传染; 传输"
Chapter-15 国家政府,transit,v. 通过; 运送 n. 运输; 通⾏; 过境; 中转
Chapter-15 国家政府,deliver,"v. 传送, 递送"
Chapter-15 国家政府,convey,"v. 运送, 输送; 表达, 传递"
Chapter-15 国家政府,speed,n. 速度; 迅速
Chapter-15 国家政府,velocity,n. 速率; 速度
Chapter-15 国家政府,swift,adj. 迅速的; 敏捷的
Chapter-15 国家政府,republic,n. 共和国; 共和政体
Chapter-15 国家政府,Marxism,n. ⻢克思主义
Chapter-15 国家政府,socialism,n. 社会主义
Chapter-15 国家政府,communism,n. 共产主义
Chapter-15 国家政府,regime,"n. 统治制度, 政体, 政权"
Chapter-15 国家政府,government,n. 政府; 政体; 统治
Chapter-15 国家政府,authority,n. 权⼒; 权威⼈⼠; ⾏政管理机构
Chapter-15 国家政府,political,adj. 政治的; 政党的
Chapter-15 国家政府,hierarchy,n. 等级制度; 统治集团
Chapter-15 国家政府,democracy,"n. ⺠主, ⺠主制度; ⺠主国家"
Chapter-15 国家政府,bureaucracy,n. 官僚制度; 官僚作⻛
Chapter-15 国家政府,egalitarian,adj. 平等主义的 n. 平等主义者
Chapter-15 国家政府,materialism,n. 唯物主义; 唯物论
Chapter-15 国家政府,revolution,n. ⾰命; 巨⼤变化
Chapter-15 国家政府,reform,"n. 改⾰, 改良 v. 改⾰, 改良, 改过⾃新"
Chapter-15 国家政府,process,"n. 过程, 进程 v. 处理; 加⼯; 列队前进"
Chapter-15 国家政府,conservative,adj. 保守的 n. 保守党员
Chapter-15 国家政府,meltdown,n. 崩溃; 彻底垮台
Chapter-15 国家政府,municipal,"adj. 市政的, 地⽅政府的"
Chapter-15 国家政府,neutral,adj. 中⽴的; 中⽴国的
Chapter-15 国家政府,bilateral,adj. 双边的
Chapter-15 国家政府,arena,"n. 竞技场, 运动场; 舞台, 活动领域"
Chapter-15 国家政府,flag,n. 旗; 旗帜
Chapter-15 国家政府,banner,"n. 横幅, 标语"
Chapter-15 国家政府,president,n. 总统; 校⻓; 董事⻓
Chapter-15 国家政府,premier,"n. 总理, ⾸相 adj. ⾸要的, 第⼀的"
Chapter-15 国家政府,minister,"n. 部⻓, ⼤⾂; 公使"
Chapter-15 国家政府,secretary,n. 秘书; 书记员; ⼤⾂
Chapter-15 国家政府,parliament,"n. 议会, 国会; [P~]英国议会"
Chapter-15 国家政府,senate,n. 参议院; 上院; ⼤学理事会
Chapter-15 国家政府,conference,n. 会议; 正式商谈
Chapter-15 国家政府,meeting,n. 会议; 会⾯
Chapter-15 国家政府,headquarters,"n. 总部, 总公司; 司令部"
Chapter-15 国家政府,delegation,n. 代表团; 委派
Chapter-15 国家政府,behalf,n. 代表
Chapter-15 国家政府,police,n. 警察; 警⽅
Chapter-15 国家政府,statesman,n. 政治家
Chapter-15 国家政府,mayor,n. 市⻓
Chapter-15 国家政府,service,n. 服务; 公共服务事业; 公共事业机构
Chapter-15 国家政府,office,"n. 办公室; 要职, 官职; [O~]部, 局, 厅"
Chapter-15 国家政府,bureau,"n. 局, 处, 科; 办事处"
Chapter-15 国家政府,department,"n. (政府)部⻔; (⼤学)系, 所"
Chapter-15 国家政府,harness,"v. 控制, 利⽤"
Chapter-15 国家政府,administration,"n. 管理, ⾏政"
Chapter-15 国家政府,dominate,"v. ⽀配, 控制; 占优势"
Chapter-15 国家政府,power,n. 能⼒; 权⼒; 政权; 能源
Chapter-15 国家政府,influence,"n. 影响, 作⽤ v. 影响"
Chapter-15 国家政府,affect,v. 影响; 打动
Chapter-15 国家政府,importance,"n. 重要, 重要性"
Chapter-15 国家政府,significance,n. 重要性; 含义
Chapter-15 国家政府,organisation,"n. 组织, 团体, 机构"
Chapter-15 国家政府,association,"n. 协会, 团体; 关联"
Chapter-15 国家政府,union,n. 联合; 联盟; ⼯会
Chapter-15 国家政府,community,n. 社区; 群体; 群落
Chapter-15 国家政府,consortium,n. 财团; 联营企业
Chapter-15 国家政府,league,n. 联赛; 联盟; 同盟
Chapter-15 国家政府,institution,n. 社会福利机构; 机构
Chapter-15 国家政府,unite,"v. 联合, 团结"
Chapter-15 国家政府,unique,"adj. 独⼀⽆⼆的, 唯⼀的; 独特的"
Chapter-15 国家政府,nation,n. 国家; ⺠族; 国⺠
Chapter-15 国家政府,global,"adj. 全球的, 全世界的"
Chapter-15 国家政府,worldwide,"adj. 世界范围的, 遍及全球的"
