序号,单词,音标,词性,中文释义,学段分类,场景归属
1042,gale,-,n.,大风,中考考纲词汇,07_自然生态与天气动植物
1043,gallery,-,n.,美术馆,中考考纲词汇,02_学校教育与学科学习
1044,gamble,-,v./n.,赌博；冒险,中考考纲词汇,09_核心行为与动作动词
1045,gang,-,n.,一帮，一伙（常聚在一起闹事、打斗的年轻人）,中考考纲词汇,01_个人家庭与人际交往
1046,gap,-,n.,缺口；裂缝；差距；空白,中考考纲词汇,03_饮食烹饪与健康医疗
1047,garage,-,n.,汽车修理厂；车库,中考考纲词汇,06_交通出行与地理旅游
1048,garbage,-,n.,（尤美）垃圾；废物,中考考纲词汇,05_居家生活与服装购物
1049,gardener,-,n.,园丁，花匠,中考考纲词汇,07_自然生态与天气动植物
1050,garlic,-,n.,蒜,中考考纲词汇,08_职业工作与社会科技
1051,garment,-,n.,（一件）衣服,中考考纲词汇,05_居家生活与服装购物
1052,gas,-,n.,气体；[美]汽油,中考考纲词汇,03_饮食烹饪与健康医疗
1053,gasoline,-,n.,[美]汽油,中考考纲词汇,03_饮食烹饪与健康医疗
1054,gather,-,v.,收集；采集,中考考纲词汇,09_核心行为与动作动词
1055,gauge,-,n./v.,测量仪器；测量；判断,中考考纲词汇,08_职业工作与社会科技
1056,gay,-,n./adj.,同性恋者（尤指男性）/同性恋的；快乐的；艳丽的,中考考纲词汇,01_个人家庭与人际交往
1057,gaze,-,v.,凝视，注视,中考考纲词汇,09_核心行为与动作动词
1058,gear,-,n./v.,齿轮；传动装置；使适合,中考考纲词汇,08_职业工作与社会科技
1059,gem,-,n.,宝石；珍品,中考考纲词汇,08_职业工作与社会科技
1060,gender,-,n.,性别,中考考纲词汇,08_职业工作与社会科技
1061,gene,-,n.,基因,中考考纲词汇,08_职业工作与社会科技
1062,general,-,n./adj.,将军/总的，一般性的,中考考纲词汇,08_职业工作与社会科技
1063,generation,-,n.,一代，一代人,中考考纲词汇,01_个人家庭与人际交往
1064,generator,-,n.,发电机,中考考纲词汇,08_职业工作与社会科技
1065,generous,-,adj.,慷慨的；宽厚的,中考考纲词汇,10_情感态度与性质修饰
1066,genetics,-,n.,遗传学,中考考纲词汇,08_职业工作与社会科技
1067,genius,-,n.,天才人物；天赋,中考考纲词汇,01_个人家庭与人际交往
1068,gentle,-,adj.,温和的；文雅的；出身名门的,中考考纲词汇,05_居家生活与服装购物
1069,genuine,-,adj.,真诚的；真正的,中考考纲词汇,10_情感态度与性质修饰
1070,geography,-,n.,地理学；地形；地势,中考考纲词汇,02_学校教育与学科学习
1071,geology,-,n.,地质学；地质状况,中考考纲词汇,08_职业工作与社会科技
1072,geometry,-,n.,几何学,中考考纲词汇,08_职业工作与社会科技
1073,germ,-,n.,微生物；细菌,中考考纲词汇,02_学校教育与学科学习
1074,germany,-,n.,德国,中考考纲词汇,08_职业工作与社会科技
1075,germinate,-,v.,发芽,中考考纲词汇,09_核心行为与动作动词
1076,gesture,-,n.,手势；姿势,中考考纲词汇,03_饮食烹饪与健康医疗
1077,ginger,-,n.,姜,中考考纲词汇,08_职业工作与社会科技
1078,gist,-,n.,主旨；要点,中考考纲词汇,08_职业工作与社会科技
1079,gizmo,-,n.,小装置,中考考纲词汇,08_职业工作与社会科技
1080,glacier,-,n.,冰川；冰河,中考考纲词汇,06_交通出行与地理旅游
1081,glance,-,v./n.,瞥，迅速看一眼/一瞥,中考考纲词汇,03_饮食烹饪与健康医疗
1082,gland,-,n.,腺,中考考纲词汇,08_职业工作与社会科技
1083,glare,-,v./n.,怒目而视；发出强光/刺眼的光；怒视,中考考纲词汇,03_饮食烹饪与健康医疗
1084,glass,-,n.,玻璃、玻璃杯,中考考纲词汇,08_职业工作与社会科技
1085,glide,-,v./n.,滑动；掠过；滑行,中考考纲词汇,09_核心行为与动作动词
1086,glimpse,-,v./n.,瞥见/一瞥,中考考纲词汇,09_核心行为与动作动词
1087,glitter,-,v./n.,闪烁；闪现/发光小物,中考考纲词汇,09_核心行为与动作动词
1088,global,-,adj.,全球的；全世界的,中考考纲词汇,04_文体娱乐与节庆风俗
1089,globe,-,n.,球体；地球仪,中考考纲词汇,04_文体娱乐与节庆风俗
1090,gloomy,-,adj.,幽暗的；令人沮丧的,中考考纲词汇,01_个人家庭与人际交往
1091,glorious,-,adj.,光荣的，荣耀的,中考考纲词汇,10_情感态度与性质修饰
1092,glove,-,n.,手套,中考考纲词汇,03_饮食烹饪与健康医疗
1093,glow,-,v./n.,发出微弱稳定的光/微弱稳定的光,中考考纲词汇,09_核心行为与动作动词
1094,glue,-,n.,胶水,中考考纲词汇,03_饮食烹饪与健康医疗
1095,goal,-,n.,球门；进球得分；目的,中考考纲词汇,04_文体娱乐与节庆风俗
1096,golf,-,n.,高尔夫球,中考考纲词汇,04_文体娱乐与节庆风俗
1097,goods,-,n.,商品；货物,中考考纲词汇,08_职业工作与社会科技
1098,goose,-,n.,鹅；鹅肉,中考考纲词汇,03_饮食烹饪与健康医疗
1099,gorge,-,n./v.,咽喉；暴食；山峡；峡谷/狼吞虎咽,中考考纲词汇,03_饮食烹饪与健康医疗
1100,gossip,-,n.,闲聊；流言蜚语,中考考纲词汇,08_职业工作与社会科技
1101,gourmet,-,n./adj.,美食家/美味佳肴的,中考考纲词汇,03_饮食烹饪与健康医疗
1102,government,-,n.,政府、政体、统治,中考考纲词汇,06_交通出行与地理旅游
1103,gown,-,n.,长外衣；女礼服,中考考纲词汇,05_居家生活与服装购物
1104,grab,-,v.,抓住，攫取；（匆忙的）取,中考考纲词汇,09_核心行为与动作动词
1105,grace,-,n.,优美；优雅,中考考纲词汇,08_职业工作与社会科技
1106,grade,-,v./n.,给...分等级：等级；成绩等级,中考考纲词汇,02_学校教育与学科学习
1107,graduate,-,n./v.,毕业生；毕业,中考考纲词汇,02_学校教育与学科学习
1108,grain,-,n.,谷物、颗粒,中考考纲词汇,08_职业工作与社会科技
1109,grammar,-,n.,语法；语法书,中考考纲词汇,02_学校教育与学科学习
1110,grand,-,adj.,宏大的；豪华的；宏伟的；极好的,中考考纲词汇,10_情感态度与性质修饰
1111,grandfather,-,n.,（外）祖父,中考考纲词汇,01_个人家庭与人际交往
1112,granite,-,n.,花岗岩,中考考纲词汇,07_自然生态与天气动植物
1113,grant,-,v.,授予；准予；承认,中考考纲词汇,09_核心行为与动作动词
1114,grape,-,n.,葡萄,中考考纲词汇,03_饮食烹饪与健康医疗
1115,graph,-,n.,图表；图,中考考纲词汇,08_职业工作与社会科技
1116,grasp,-,v.,抓牢 ，握紧；完全理解，全面领会,中考考纲词汇,09_核心行为与动作动词
1117,grass,-,n.,草；草地,中考考纲词汇,07_自然生态与天气动植物
1118,grateful,-,adj.,感激的；表示感谢的,中考考纲词汇,10_情感态度与性质修饰
1119,gratitude,-,n.,感谢；感激；感恩,中考考纲词汇,08_职业工作与社会科技
1120,grave,-,n./adj.,坟墓；死亡/庄重的；严肃的,中考考纲词汇,01_个人家庭与人际交往
1121,gravity,-,n.,地球引力；重力,中考考纲词汇,04_文体娱乐与节庆风俗
1122,greedy,-,adj.,贪吃的；贪婪的,中考考纲词汇,10_情感态度与性质修饰
1123,greek,-,adj./n.,希腊的/希腊人,中考考纲词汇,01_个人家庭与人际交往
1124,greenhouse,-,n.,温室；暖房,中考考纲词汇,07_自然生态与天气动植物
1125,greet,-,v.,向...问好；迎接；对...做出反应,中考考纲词汇,09_核心行为与动作动词
1126,grey,-,adj./n.,灰色的；灰色,中考考纲词汇,10_情感态度与性质修饰
1127,grid,-,n.,栅栏、网格、输电网,中考考纲词汇,04_文体娱乐与节庆风俗
1128,grief,-,n.,极度悲伤,中考考纲词汇,03_饮食烹饪与健康医疗
1129,grieve,-,v.,（使）悲痛,中考考纲词汇,03_饮食烹饪与健康医疗
1130,grind,-,v./n.,碾碎/枯燥乏味的事情,中考考纲词汇,09_核心行为与动作动词
1131,grip,-,v./n.,紧握，抓牢/紧握，抓牢；理解，了解,中考考纲词汇,09_核心行为与动作动词
1132,grocery,-,n.,食品杂货店,中考考纲词汇,03_饮食烹饪与健康医疗
1133,groom,-,n./v.,马夫；新郎/（给动物）刷洗；理毛；梳毛,中考考纲词汇,07_自然生态与天气动植物
1134,gross,-,adj.,总的；毛的,中考考纲词汇,10_情感态度与性质修饰
1135,growth,-,n.,增长；生长,中考考纲词汇,08_职业工作与社会科技
1136,guarantee,-,v./n.,担保；确保/保证；保修单；担保金；担保物,中考考纲词汇,09_核心行为与动作动词
1137,guard,-,n./v.,卫兵，警卫员/看守，守卫，保卫,中考考纲词汇,09_核心行为与动作动词
1138,guardian,-,n./adj.,保卫者；监护人；守护的,中考考纲词汇,01_个人家庭与人际交往
1139,guest,-,n.,客人，宾客，旅客,中考考纲词汇,06_交通出行与地理旅游
1140,guideline,-,n.,指导方针,中考考纲词汇,03_饮食烹饪与健康医疗
1141,guilty,-,adj.,有罪的；内疚的,中考考纲词汇,10_情感态度与性质修饰
1142,guitar,-,n.,吉他,中考考纲词汇,04_文体娱乐与节庆风俗
1143,gulf,-,n.,海湾,中考考纲词汇,06_交通出行与地理旅游
1144,gum,-,n.,口香糖、树胶,中考考纲词汇,03_饮食烹饪与健康医疗
1145,gunpowder,-,n.,火药,中考考纲词汇,03_饮食烹饪与健康医疗
1146,gush,-,v./n.,涌出,中考考纲词汇,09_核心行为与动作动词
1147,gust,-,n.,一整狂风；（情感的）迸发,中考考纲词汇,07_自然生态与天气动植物
1148,gym,-,n.,体育馆；运动场,中考考纲词汇,02_学校教育与学科学习
1149,habit,-,n.,习惯,中考考纲词汇,08_职业工作与社会科技
1150,habitat,-,n.,栖息地,中考考纲词汇,08_职业工作与社会科技
1151,hail,-,n./v.,冰雹/赞扬；招呼；下冰雹,中考考纲词汇,07_自然生态与天气动植物
1152,haircut,-,n.,理发,中考考纲词汇,08_职业工作与社会科技
1153,hairdressing,-,n.,美发；理发,中考考纲词汇,08_职业工作与社会科技
1154,hallowed,-,adj.,神圣的；收尊崇的,中考考纲词汇,10_情感态度与性质修饰
1155,halt,-,v./n.,（使）停止/停止,中考考纲词汇,09_核心行为与动作动词
1156,hamburger,-,n.,汉堡包,中考考纲词汇,03_饮食烹饪与健康医疗
1157,hammer,-,n./v.,锤，榔头/用锤击,中考考纲词汇,03_饮食烹饪与健康医疗
1158,handkerchief,-,n.,手帕,中考考纲词汇,03_饮食烹饪与健康医疗
1159,handle,-,n./v.,柄；把手；拿；处理,中考考纲词汇,03_饮食烹饪与健康医疗
1160,handout,-,n.,传单；讲义,中考考纲词汇,08_职业工作与社会科技
1161,handrail,-,n.,扶手、栏杆,中考考纲词汇,03_饮食烹饪与健康医疗
1162,handsome,-,adj.,数量大的；英俊的,中考考纲词汇,10_情感态度与性质修饰
1163,handwriting,-,n.,笔记；书写,中考考纲词汇,02_学校教育与学科学习
1164,hang,-,n.,悬挂；悬浮；（被）绞死,中考考纲词汇,08_职业工作与社会科技
1165,happen,-,v.,发生；出现；碰巧,中考考纲词汇,09_核心行为与动作动词
1166,happiness,-,n.,幸福；快乐；适当,中考考纲词汇,08_职业工作与社会科技
1167,harass,-,v.,烦扰,中考考纲词汇,09_核心行为与动作动词
1168,harbour,-,n.,港口,中考考纲词汇,03_饮食烹饪与健康医疗
1169,hare,-,n.,野兔,中考考纲词汇,07_自然生态与天气动植物
1170,harmful,-,adj.,有害的,中考考纲词汇,10_情感态度与性质修饰
1171,harmonica,-,n.,口琴,中考考纲词汇,03_饮食烹饪与健康医疗
1172,harmony,-,n.,协调；和谐；融洽；和声,中考考纲词汇,08_职业工作与社会科技
1173,harness,-,v.,利用；控制,中考考纲词汇,09_核心行为与动作动词
1174,harvest,-,v./n.,收割；收获；收成,中考考纲词汇,09_核心行为与动作动词
1175,hasten,-,v.,赶紧；促进,中考考纲词汇,09_核心行为与动作动词
1176,hat,-,n.,（常指带帽檐的）帽子,中考考纲词汇,05_居家生活与服装购物
1177,hatch,-,v./n.,孵化,中考考纲词汇,09_核心行为与动作动词
1178,hate,-,v.,恨；憎恨；不喜欢,中考考纲词汇,09_核心行为与动作动词
1179,hatred,-,n.,憎恶；憎恨；仇恨,中考考纲词汇,08_职业工作与社会科技
1180,haunt,-,v./n.,（鬼魂等）常出没于/常去的地方,中考考纲词汇,09_核心行为与动作动词
1181,hawk,-,n.,鹰；隼,中考考纲词汇,07_自然生态与天气动植物
1182,hay,-,n.,干草,中考考纲词汇,07_自然生态与天气动植物
1183,hazard,-,n./v.,危险/使冒风险,中考考纲词汇,07_自然生态与天气动植物
1184,headache,-,n.,头痛,中考考纲词汇,03_饮食烹饪与健康医疗
1185,heading,-,n.,标题；主题,中考考纲词汇,08_职业工作与社会科技
1186,headmaster,-,n.,[英]男校长,中考考纲词汇,08_职业工作与社会科技
1187,headquarters,-,n.,总部，总公司；司令部,中考考纲词汇,08_职业工作与社会科技
1188,heal,-,v.,治愈；愈合,中考考纲词汇,03_饮食烹饪与健康医疗
1189,health care,-,n.,医疗保健,中考考纲词汇,08_职业工作与社会科技
1190,heap,-,n.,（大而杂乱的）堆,中考考纲词汇,08_职业工作与社会科技
1191,heart attack,-,n.,心脏病发作,中考考纲词汇,03_饮食烹饪与健康医疗
1192,heating,-,n.,供暖；暖气装置,中考考纲词汇,05_居家生活与服装购物
1193,heaven,-,n.,天堂；极乐之地,中考考纲词汇,08_职业工作与社会科技
1194,hectic,-,adj.,兴奋活跃的；忙乱的；繁忙的,中考考纲词汇,10_情感态度与性质修饰
1195,hedge,-,n.,树篱；障碍物,中考考纲词汇,08_职业工作与社会科技
1196,heel,-,n.,足跟,中考考纲词汇,03_饮食烹饪与健康医疗
1197,heir,-,n.,后嗣；继承人,中考考纲词汇,06_交通出行与地理旅游
1198,helicopter,-,n.,直升机,中考考纲词汇,08_职业工作与社会科技
1199,hell,-,n.,地狱；苦境,中考考纲词汇,03_饮食烹饪与健康医疗
1200,helmet,-,n.,头盔,中考考纲词汇,03_饮食烹饪与健康医疗
1201,hemisphere,-,n.,半球,中考考纲词汇,04_文体娱乐与节庆风俗
1202,herald,-,n./v.,使者，传令官，先驱；预兆/预告；宣布,中考考纲词汇,09_核心行为与动作动词
1203,herb,-,n.,药草；香草,中考考纲词汇,03_饮食烹饪与健康医疗
1204,herbivore,-,n.,食草动物,中考考纲词汇,07_自然生态与天气动植物
1205,herd,-,n.,兽群；畜群,中考考纲词汇,08_职业工作与社会科技
1206,heritage,-,n.,（国家的）遗产,中考考纲词汇,05_居家生活与服装购物
1207,hero,-,n.,男主角；男主；英雄；勇士,中考考纲词汇,05_居家生活与服装购物
1208,heroine,-,n.,女主角；女主；女英雄,中考考纲词汇,05_居家生活与服装购物
1209,hesitate,-,v.,犹豫不决；顾虑,中考考纲词汇,09_核心行为与动作动词
1210,hibernation,-,n.,冬眠,中考考纲词汇,07_自然生态与天气动植物
1211,hierarchy,-,n.,等级制度；统治集团,中考考纲词汇,08_职业工作与社会科技
1212,high-definition,-,adj.,高分辨率的,中考考纲词汇,05_居家生活与服装购物
1213,highway,-,n.,[尤美]公路,中考考纲词汇,06_交通出行与地理旅游
1214,hijack,-,v.,劫持（飞机或其他交通工具）,中考考纲词汇,06_交通出行与地理旅游
1215,hike,-,n./v.,徒步旅行；远足,中考考纲词汇,03_饮食烹饪与健康医疗
1216,hillside,-,n.,小山的山腰；山坡,中考考纲词汇,03_饮食烹饪与健康医疗
1217,hint,-,v./n.,暗示，提示,中考考纲词汇,09_核心行为与动作动词
1218,hip-hop,-,n.,嘻哈文化,中考考纲词汇,02_学校教育与学科学习
1219,hire,-,v./n.,雇用；租用/租赁（业）,中考考纲词汇,09_核心行为与动作动词
1220,history,-,n.,历史；历史学,中考考纲词汇,02_学校教育与学科学习
1221,hit,-,v./n.,打，击，碰撞/打，击中,中考考纲词汇,09_核心行为与动作动词
1222,hive,-,n./v.,蜂房；繁忙的场所；（使）入蜂箱；（像蜜蜂般）密集群居,中考考纲词汇,06_交通出行与地理旅游
1223,hockey,-,n.,曲棍球；冰球,中考考纲词汇,04_文体娱乐与节庆风俗
1224,hollow,-,adj.,中空的；空心的,中考考纲词汇,10_情感态度与性质修饰
1225,holy,-,adj.,神圣的；圣洁的；虔诚的,中考考纲词汇,10_情感态度与性质修饰
1226,homesick,-,adj.,思乡的,中考考纲词汇,10_情感态度与性质修饰
1227,honesty,-,n.,诚实；正直,中考考纲词汇,01_个人家庭与人际交往
1228,honey,-,n.,蜂蜜,中考考纲词汇,07_自然生态与天气动植物
1229,honeymoon,-,n.,蜜月,中考考纲词汇,08_职业工作与社会科技
1230,honk,-,n./v.,汽车喇叭声；鹅叫声/按（汽车喇叭）,中考考纲词汇,06_交通出行与地理旅游
1231,honor,-,n./v.,尊敬，敬意，冗余/尊敬，给予表扬,中考考纲词汇,09_核心行为与动作动词
1232,hook,-,n.,钩；钩状物；勾拳,中考考纲词汇,08_职业工作与社会科技
1233,hop,-,v.,跳上/下；单脚跳行；齐足跳行,中考考纲词汇,03_饮食烹饪与健康医疗
1234,hopeless,-,adj.,无望的；极差的,中考考纲词汇,10_情感态度与性质修饰
1235,horizon,-,n.,地平线；[~s]眼界；见识,中考考纲词汇,03_饮食烹饪与健康医疗
1236,hormone,-,n.,荷尔蒙；激素,中考考纲词汇,08_职业工作与社会科技
1237,horn,-,n.,（牛羊等动物的）角；（乐器的）号,中考考纲词汇,04_文体娱乐与节庆风俗
1238,horrible,-,adj.,可怕的；恐怖的,中考考纲词汇,10_情感态度与性质修饰
1239,horse,-,n.,马🐴,中考考纲词汇,07_自然生态与天气动植物
1240,horsepower,-,n.,马力,中考考纲词汇,07_自然生态与天气动植物
1241,horticulture,-,n.,园艺学；园艺,中考考纲词汇,08_职业工作与社会科技
1242,hospitable,-,adj.,好客的；热情友好的,中考考纲词汇,01_个人家庭与人际交往
1243,hospital,-,n.,医院,中考考纲词汇,08_职业工作与社会科技
1244,host,-,n.,主人，东道主,中考考纲词汇,06_交通出行与地理旅游
1245,hostage,-,n.,人质,中考考纲词汇,01_个人家庭与人际交往
1246,hostel,-,n.,廉价招待所,中考考纲词汇,05_居家生活与服装购物
1247,hostess,-,n.,女主人,中考考纲词汇,01_个人家庭与人际交往
1248,hostile,-,adj.,怀有敌意的；不友善的；敌对的,中考考纲词汇,01_个人家庭与人际交往
1249,household,-,n.,家庭，一户，家务,中考考纲词汇,05_居家生活与服装购物
1250,housewife,-,n.,家庭主妇,中考考纲词汇,05_居家生活与服装购物
1251,hover,-,v.,盘旋，悬浮；徘徊；处于不确定状态,中考考纲词汇,09_核心行为与动作动词
1252,hug,-,v./n.,拥抱,中考考纲词汇,09_核心行为与动作动词
1253,hull,-,n./v.,（果实等的）外壳；船体/剥去（果实的）外壳,中考考纲词汇,09_核心行为与动作动词
1254,human,-,adj./n.,人类的；有人性的/人类,中考考纲词汇,01_个人家庭与人际交往
1255,humanitarian,-,n./adj.,人道主义者；人道主义的；博爱的,中考考纲词汇,01_个人家庭与人际交往
1256,humble,-,adj.,谦虚的；卑微的,中考考纲词汇,10_情感态度与性质修饰
1257,humid,-,adj.,潮湿的；湿热的,中考考纲词汇,07_自然生态与天气动植物
1258,humiliate,-,v.,羞辱；使蒙羞,中考考纲词汇,09_核心行为与动作动词
1259,humorous,-,adj.,幽默的；诙谐的,中考考纲词汇,01_个人家庭与人际交往
1260,hunger,-,n.,饥饿、渴望,中考考纲词汇,03_饮食烹饪与健康医疗
1261,hunt,-,v./n.,打猎；搜寻；猎取,中考考纲词汇,09_核心行为与动作动词
1262,hurdle,-,n.,栏架；跨栏赛跑,中考考纲词汇,04_文体娱乐与节庆风俗
1263,hurricane,-,n.,飓风；暴风,中考考纲词汇,07_自然生态与天气动植物
1264,hurry,-,v./n.,赶紧；催促/匆忙,中考考纲词汇,09_核心行为与动作动词
1265,hurt,-,v.,损害；伤害；（使）疼痛,中考考纲词汇,03_饮食烹饪与健康医疗
1266,husband,-,n.,丈夫,中考考纲词汇,01_个人家庭与人际交往
1267,hut,-,n.,小屋、棚屋,中考考纲词汇,08_职业工作与社会科技
1268,hybridisation,-,n.,杂交,中考考纲词汇,08_职业工作与社会科技
1269,hybridize,-,v.,（使）杂交,中考考纲词汇,09_核心行为与动作动词
1270,hydraulic,-,adj.,水力的；液压的,中考考纲词汇,03_饮食烹饪与健康医疗
1271,hydrogen,-,n.,氢气,中考考纲词汇,08_职业工作与社会科技
1272,hydrosphere,-,n.,水圈；大气中的水汽,中考考纲词汇,03_饮食烹饪与健康医疗
1273,hygiene,-,n.,卫生（学）；保健（学）,中考考纲词汇,08_职业工作与社会科技
1274,hypertension,-,n.,高血压,中考考纲词汇,08_职业工作与社会科技
1275,hypothesis,-,n.,假说；假设,中考考纲词汇,08_职业工作与社会科技
1276,ice cream,-,n.,冰淇淋,中考考纲词汇,08_职业工作与社会科技
1277,icon,-,n.,偶像；图标,中考考纲词汇,08_职业工作与社会科技
1278,identical,-,adj.,同一的,中考考纲词汇,10_情感态度与性质修饰
1279,ideology,-,n.,意识形态；思想体系,中考考纲词汇,02_学校教育与学科学习
1280,idiom,-,n.,习语,中考考纲词汇,08_职业工作与社会科技
1281,idiot,-,n.,白痴；傻瓜,中考考纲词汇,08_职业工作与社会科技
1282,idol,-,n.,偶像；受到崇拜的人或物；神像,中考考纲词汇,01_个人家庭与人际交往
1283,ignorance,-,n.,无知，愚昧,中考考纲词汇,08_职业工作与社会科技
1284,ignorant,-,adj.,无知的；没有学识的；愚昧的,中考考纲词汇,10_情感态度与性质修饰
1285,illiteracy,-,n.,文盲,中考考纲词汇,08_职业工作与社会科技
1286,illness,-,n.,疾；疾病,中考考纲词汇,03_饮食烹饪与健康医疗
1287,illuminate,-,v.,阐释；说明；照亮,中考考纲词汇,09_核心行为与动作动词
1288,illusion,-,n.,错觉；幻想,中考考纲词汇,08_职业工作与社会科技
1289,illustrate,-,v.,（用图等）说明；给（书）加插图（或图表）,中考考纲词汇,02_学校教育与学科学习
1290,imaginary,-,adj.,想像的；虚构的,中考考纲词汇,10_情感态度与性质修饰
1291,imitate,-,v.,模仿；效仿,中考考纲词汇,09_核心行为与动作动词
1292,immediately,-,adv.,立即；直接地,中考考纲词汇,09_核心行为与动作动词
1293,immense,-,adj.,巨大的；极好的,中考考纲词汇,10_情感态度与性质修饰
1294,immigrate,-,v.,（从外地）移居；移入,中考考纲词汇,09_核心行为与动作动词
1295,imminent,-,adj.,（尤指不愉快的事）即将发生的；逼近的,中考考纲词汇,10_情感态度与性质修饰
1296,immune,-,adj.,免疫的；不受影响的；免除的,中考考纲词汇,10_情感态度与性质修饰
1297,impact,-,n.,影响,中考考纲词汇,08_职业工作与社会科技
1298,impair,-,v.,削弱；妨碍,中考考纲词汇,09_核心行为与动作动词
1299,impart,-,v.,传授；透露,中考考纲词汇,09_核心行为与动作动词
1300,impede,-,v.,妨碍，阻止,中考考纲词汇,09_核心行为与动作动词
1301,imperial,-,adj.,帝国的,中考考纲词汇,10_情感态度与性质修饰
1302,impetus,-,n.,推动；促进；动量；惯性,中考考纲词汇,08_职业工作与社会科技
1303,implement,-,v./n.,实施；执行/工具；器具,中考考纲词汇,09_核心行为与动作动词
1304,implicit,-,adj.,暗示的；含蓄的；不怀疑的；无保留的,中考考纲词汇,10_情感态度与性质修饰
1305,imply,-,v.,暗指；意味着,中考考纲词汇,09_核心行为与动作动词
1306,import,-,v./n.,进口/进口；进口商品,中考考纲词汇,03_饮食烹饪与健康医疗
1307,importance,-,n.,重要，重要性,中考考纲词汇,08_职业工作与社会科技
1308,impose,-,v.,强加；征收（书款）,中考考纲词汇,02_学校教育与学科学习
1309,impress,-,v.,给...深刻的印象；使铭记,中考考纲词汇,07_自然生态与天气动植物
1310,improve,-,v.,改善；改进,中考考纲词汇,09_核心行为与动作动词
1311,improvise,-,v.,临时做；即兴创作,中考考纲词汇,09_核心行为与动作动词
1312,impulse,-,n.,冲动；心血来潮,中考考纲词汇,08_职业工作与社会科技
1313,inappropriate,-,adj.,不合适的,中考考纲词汇,10_情感态度与性质修饰
1314,incentive,-,n.,刺激；激励,中考考纲词汇,08_职业工作与社会科技
1315,incident,-,n.,（尤指不寻常的、重要的或暴力的）事件；（两国之间的）冲突,中考考纲词汇,08_职业工作与社会科技
1316,incidentally,-,adv.,偶然地；顺便提一句,中考考纲词汇,09_核心行为与动作动词
1317,incline,-,v./n.,（使）倾向于、倾斜/斜坡；倾斜,中考考纲词汇,09_核心行为与动作动词
1318,income,-,n.,收入,中考考纲词汇,08_职业工作与社会科技
1319,increase,-,n./v.,增加，增长/（使）增加，（使）增长,中考考纲词汇,09_核心行为与动作动词
1320,increment,-,n.,增加量；定期加薪,中考考纲词汇,08_职业工作与社会科技
1321,independence,-,n.,独立；自立,中考考纲词汇,08_职业工作与社会科技
1322,index,-,n./v.,指数；索引；为...编索引,中考考纲词汇,09_核心行为与动作动词
1323,indian,-,adj./n.,印度的/印度人,中考考纲词汇,01_个人家庭与人际交往
1324,indifferent,-,adj.,漠不关心的；无关紧要的；平庸的；中立的,中考考纲词汇,10_情感态度与性质修饰
1325,indignant,-,adj.,愤慨的,中考考纲词汇,10_情感态度与性质修饰
1326,indignity,-,n.,侮辱；轻蔑,中考考纲词汇,08_职业工作与社会科技
1327,individual,-,n./adj.,个人；个体/个别的，单独的,中考考纲词汇,01_个人家庭与人际交往
1328,indoor,-,adj.,室内的,中考考纲词汇,10_情感态度与性质修饰
1329,induce,-,v.,引诱，劝说,中考考纲词汇,09_核心行为与动作动词
1330,inductive,-,adj.,归纳的；诱导的,中考考纲词汇,10_情感态度与性质修饰
1331,indulge,-,v.,迁就；放任；沉湎；让...享受一下,中考考纲词汇,09_核心行为与动作动词
1332,industry,-,n.,工业；产业；勤劳,中考考纲词汇,08_职业工作与社会科技
1333,inert,-,adj.,无生气的；惰性的；不活泼,中考考纲词汇,10_情感态度与性质修饰
1334,inevitable,-,adj.,必然的；不可避免的,中考考纲词汇,10_情感态度与性质修饰
1335,infant,-,n./adj.,供婴儿用的；婴儿的,中考考纲词汇,01_个人家庭与人际交往
1336,infection,-,n.,传染；传染病；影响,中考考纲词汇,08_职业工作与社会科技
1337,infer,-,v.,推断；推理,中考考纲词汇,09_核心行为与动作动词
1338,inferior,-,adj./n.,差的；下级的；低等的；级别/地位低的人；次品,中考考纲词汇,01_个人家庭与人际交往
1339,inflation,-,n.,通货膨胀,中考考纲词汇,08_职业工作与社会科技
1340,inflection,-,n.,语调的抑扬变化,中考考纲词汇,08_职业工作与社会科技
1341,influence,-,n./v.,影响；作用/影响,中考考纲词汇,09_核心行为与动作动词
1342,influx,-,n.,流入，涌进,中考考纲词汇,08_职业工作与社会科技
1343,infringe,-,v.,侵犯；违反,中考考纲词汇,09_核心行为与动作动词
1344,ingredient,-,n.,成分；（烹调的）原料、因素,中考考纲词汇,05_居家生活与服装购物
1345,inhabit,-,v.,居住于,中考考纲词汇,09_核心行为与动作动词
1346,inhabitant,-,n.,居民,中考考纲词汇,08_职业工作与社会科技
1347,inherent,-,adj.,内在的；固有的,中考考纲词汇,10_情感态度与性质修饰
1348,inherit,-,v.,继承（财产等）；经遗传获得,中考考纲词汇,09_核心行为与动作动词
1349,initially,-,adv.,最初,中考考纲词汇,09_核心行为与动作动词
1350,injection,-,n.,注射；注射物；单射（函数）,中考考纲词汇,03_饮食烹饪与健康医疗
1351,injure,-,v.,伤害；使遭受损伤；损害,中考考纲词汇,03_饮食烹饪与健康医疗
1352,injury,-,n.,伤害；损害,中考考纲词汇,03_饮食烹饪与健康医疗
1353,ink,-,n.,墨水,中考考纲词汇,03_饮食烹饪与健康医疗
1354,inner,-,adj.,内部的；内心的,中考考纲词汇,10_情感态度与性质修饰
1355,innovate,-,v.,创新；改革,中考考纲词汇,09_核心行为与动作动词
